date_only,total_trades,total_pnl,total_volume_usd,active_traders,value,classification
2023-03-28,3,0.0,477.0,1,59,Greed
2023-11-14,1045,155.50335699999994,11555429.76,2,69,Greed
2024-03-09,6962,176965.491774,39406770.25,5,84,Extreme Greed
2024-07-03,7141,158742.378078,21843234.35,8,50,Neutral
2024-10-27,35241,3189461.032019,103947765.09,29,74,Greed
2025-02-19,133871,6699925.190574,704158492.98,32,44,Fear
